date,region,temperature_2m_K,AirTempAdjusted_K,AirTempAdjusted_oC
01/08/1985,AMZ02,297.5571789,297.3981545,24.2481545
01/09/1985,AMZ02,298.3757032,297.3469489,24.1969489
01/10/1985,AMZ02,298.7897978,297.3642703,24.2142703
01/11/1985,AMZ02,297.9408267,296.948463,23.798463
01/12/1985,AMZ02,297.6407684,297.2302891,24.0802891
01/01/1986,AMZ02,297.2241858,297.5705843,24.4205843
01/02/1986,AMZ02,297.4415457,297.8696417,24.7196417
01/03/1986,AMZ02,297.8375025,298.2344598,25.0844598
01/04/1986,AMZ02,298.1478844,298.7212019,25.5712019
01/05/1986,AMZ02,297.9975484,298.7253339,25.5753339
01/06/1986,AMZ02,297.0604144,297.8449341,24.6949341
01/07/1986,AMZ02,297.1477408,297.9068156,24.7568156
01/08/1986,AMZ02,298.9383764,298.779352,25.629352
01/09/1986,AMZ02,298.4403206,297.4115663,24.2615663
01/10/1986,AMZ02,298.4687336,297.0432061,23.8932061
01/11/1986,AMZ02,298.0964228,297.1040591,23.9540591
01/12/1986,AMZ02,298.2508764,297.8403971,24.6903971
01/01/1987,AMZ02,297.8384325,298.184831,25.034831
01/02/1987,AMZ02,298.533647,298.961743,25.811743
01/03/1987,AMZ02,298.9510407,299.347998,26.197998
01/04/1987,AMZ02,298.493533,299.0668505,25.9168505
01/05/1987,AMZ02,298.4810929,299.2088784,26.0588784
01/06/1987,AMZ02,298.3041279,299.0886476,25.9386476
01/07/1987,AMZ02,298.6187723,299.3778471,26.2278471
01/08/1987,AMZ02,298.6325167,298.4734923,25.3234923
01/09/1987,AMZ02,299.1009629,298.0722086,24.9222086
01/10/1987,AMZ02,299.7127728,298.2872453,25.1372453
01/11/1987,AMZ02,300.0731891,299.0808254,25.9308254
01/12/1987,AMZ02,299.8001168,299.3896375,26.2396375
01/01/1988,AMZ02,298.194678,298.5410765,25.3910765
01/02/1988,AMZ02,298.3242385,298.7523345,25.6023345
01/03/1988,AMZ02,299.6220952,300.0190525,26.8690525
01/04/1988,AMZ02,298.6533539,299.2266714,26.0766714
